
Name, Symbol, Price, "24 Hour Change"
"Bitcoin", "BTC", "93,566.42", "-1.97%"
"Ethereum", "ETH", "3,297.40", "-1.91%"
"Tether", "USDT", "1.00", "+0.23%"
"XRP", "XRP", "2.30", "-1.43%"
"BNB", "BNB", "700.20", "+0.40%"
"Solana", "SOL", "190.17", "-3.57%"
"Dogecoin", "DOGE", "0.3296", "-4.89%"
"USD Coin", "USDC", "1.00", "+0.09%"
"Cardano", "ADA", "0.9111", "-7.78%"
"TRON", "TRX", "0.2453", "-2.01%"
"Wrapped Bitcoin", "WBTC", "93,473.91", "-1.97%"
"Avalanche", "AVAX", "36.70", "-4.00%"
"Sui", "SUI", "4.60", "+0.47%"
"Toncoin", "TON", "5.23", "-0.88%"
"Chainlink", "LINK", "19.96", "-4.18%"
"Shiba Inu", "SHIB", "0.00002118", "-1.68%"
"Stellar", "XLM", "0.4006", "-6.89%"
"Hedera", "HBAR", "0.2716", "-3.05%"
"Polkadot", "DOT", "6.72", "-1.96%"
"Bitcoin Cash", "BCH", "426.93", "-2.01%"
"UNUS SED LEO", "LEO", "9.03", "+0.81%"
"Litecoin", "LTC", "103.40", "+0.78%"
"Uniswap", "UNI", "12.85", "-3.53%"
"Bitget Token", "BGB", "6.29", "-2.57%"
"Pepe", "PEPE", "0.00001753", "-3.16%"
"NEAR Protocol", "NEAR", "4.99", "-3.06%"
"Dai", "DAI", "1.00", "+0.23%"
"Internet Computer", "ICP", "10.45", "-3.87%"
"Aptos", "APT", "8.83", "-3.88%"
"Aave", "AAVE", "283.32", "-4.57%"
"Mantle", "MNT", "1.16", "-4.44%"
"Polygon Ecosystem Token", "POL", "0.4596", "+0.08%"
"Cronos", "CRO", "0.1401", "-2.96%"
"Ethereum Classic", "ETC", "25.12", "-1.44%"
"Render Token", "RENDER", "7.18", "-7.60%"
"VeChain", "VET", "0.04564", "+0.58%"
"bittensor", "TAO", "451.61", "-3.39%"
"MANTRA", "OM", "3.78", "-3.69%"
"Monero", "XMR", "196.62", "-1.16%"
"Virtual Protocol", "VIRTUAL", "3.26", "-4.98%"
"Tokenize Xchange", "TKX", "40.87", "-4.76%"
"Arbitrum", "ARB", "0.7645", "-4.96%"
"Artificial Superintelligence Alliance", "FET", "1.30", "-2.56%"
"Filecoin", "FIL", "5.10", "-2.56%"
"Algorand", "ALGO", "0.349", "-4.34%"
"Kaspa", "KAS", "0.1151", "+2.12%"
"OKB", "OKB", "47.42", "+0.36%"
"Ethena", "ENA", "0.9162", "-3.83%"
"Cosmos", "ATOM", "6.53", "-1.15%"
"Optimism", "OP", "1.78", "-2.57%"
